country_name,country_iso,provider,region_code,gpu_class,budget_usd,reference_hours,normalization_method,availability_class,alpha_availability,on_demand_usd_per_gpu_hr,nominal_run_cost_usd,ppp_factor,normalization_value,adjusted_run_cost_usd,runs_per_budget,affordable_chips,eca_economic_tflops,eca_nominal_tflops,bis_tier,eca_scenario_a,eca_scenario_b_low,eca_scenario_b_mid,eca_scenario_b_high,eca_scenario_c,eca_continuous_tflops,eca_continuous_scenario_a,eca_continuous_scenario_b_mid,ratio_to_usa_scenario_a,is_local_region,data_sovereignty_class
Brazil,BRA,azure,eastus,H100_SXM5,10000.0,720,ppp,GA,1.0,12.29,8848.8,0.39,0.39,22689.23,0.441,0,0.0,989.5,2,0.0,0.0,0.0,0.0,0.0,436.1,436.1,218.1,0.0,False,cross_border_restricted
Brazil,BRA,azure,brazilsouth,A100_SXM4,10000.0,720,ppp,GA,1.0,8.745,6296.4,0.39,0.39,16144.62,0.619,0,0.0,312.0,2,0.0,0.0,0.0,0.0,0.0,193.3,193.3,96.6,0.0,True,cross_border_restricted
United Arab Emirates,ARE,aws,us-east-1,H100_SXM5,10000.0,720,ppp,GA,1.0,3.933,2831.76,0.63,0.63,4494.86,2.225,2,1979.0,2968.5,2,1979.0,593.7,989.5,1385.3,0.0,2201.4,2201.4,1100.7,0.667,False,cross_border_restricted
United Arab Emirates,ARE,aws,us-east-1,A100_SXM4,10000.0,720,ppp,GA,1.0,1.475,1062.0,0.63,0.63,1685.71,5.932,5,1560.0,2808.0,2,1560.0,468.0,780.0,1092.0,0.0,1850.8,1850.8,925.4,0.556,False,cross_border_restricted
United Arab Emirates,ARE,gcp,us-central1,H100_SXM5,10000.0,720,ppp,GA,1.0,3.82,2750.4,0.63,0.63,4365.71,2.291,2,1979.0,2968.5,2,1979.0,593.7,989.5,1385.3,0.0,2266.5,2266.5,1133.3,0.667,False,cross_border_restricted
United Arab Emirates,ARE,gcp,us-central1,A100_SXM4,10000.0,720,ppp,GA,1.0,1.47,1058.4,0.63,0.63,1680.0,5.952,5,1560.0,2808.0,2,1560.0,468.0,780.0,1092.0,0.0,1857.1,1857.1,928.6,0.556,False,cross_border_restricted
United Arab Emirates,ARE,azure,uaenorth,H100_SXM5,10000.0,720,ppp,GA,1.0,18.127,13051.44,0.63,0.63,20716.57,0.483,0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,477.6,477.6,238.8,0.0,True,cross_border_restricted
United Arab Emirates,ARE,azure,uaenorth,A100_SXM4,10000.0,720,ppp,GA,1.0,6.41,4615.2,0.63,0.63,7325.71,1.365,1,312.0,624.0,2,312.0,93.6,156.0,218.4,0.0,425.9,425.9,212.9,0.5,True,cross_border_restricted
Singapore,SGP,aws,ap-southeast-1,H100_SXM5,10000.0,720,ppp,GA,1.0,3.933,2831.76,0.58,0.58,4882.34,2.048,2,1979.0,2968.5,2,1979.0,593.7,989.5,1385.3,0.0,2026.7,2026.7,1013.3,0.667,True,cross_border_restricted
Singapore,SGP,aws,ap-southeast-1,A100_SXM4,10000.0,720,ppp,GA,1.0,1.475,1062.0,0.58,0.58,1831.03,5.461,5,1560.0,2808.0,2,1560.0,468.0,780.0,1092.0,0.0,1704.0,1704.0,852.0,0.556,True,cross_border_restricted
