normalization_method,country_iso,country_name,provider,gpu_class,eca_scenario_a,eca_scenario_b_mid,runs_per_budget,ratio_to_usa
rd_per_researcher,DEU,Germany,gcp,H100_SXM5,1979.0,1979.0,2.597,0.667
rd_per_researcher,DEU,Germany,gcp,A100_SXM4,1872.0,1872.0,6.749,0.667
rd_per_researcher,DEU,Germany,azure,H100_SXM5,0.0,0.0,0.807,0.0
rd_per_researcher,DEU,Germany,azure,A100_SXM4,312.0,312.0,1.433,0.5
rd_per_researcher,JPN,Japan,aws,H100_SXM5,989.5,989.5,1.522,0.333
rd_per_researcher,JPN,Japan,aws,A100_SXM4,1248.0,1248.0,4.059,0.444
rd_per_researcher,JPN,Japan,gcp,H100_SXM5,989.5,989.5,1.425,0.333
rd_per_researcher,JPN,Japan,gcp,A100_SXM4,936.0,936.0,3.695,0.333
rd_per_researcher,JPN,Japan,azure,H100_SXM5,0.0,0.0,0.326,0.0
rd_per_researcher,JPN,Japan,azure,A100_SXM4,312.0,312.0,1.008,0.5
rd_per_researcher,GBR,United Kingdom,aws,H100_SXM5,1979.0,1979.0,2.348,0.667
rd_per_researcher,GBR,United Kingdom,aws,A100_SXM4,1872.0,1872.0,6.262,0.667
rd_per_researcher,GBR,United Kingdom,gcp,H100_SXM5,1979.0,1979.0,2.418,0.667
rd_per_researcher,GBR,United Kingdom,gcp,A100_SXM4,1872.0,1872.0,6.283,0.667
rd_per_researcher,GBR,United Kingdom,azure,H100_SXM5,0.0,0.0,0.58,0.0
rd_per_researcher,GBR,United Kingdom,azure,A100_SXM4,312.0,312.0,1.628,0.5
rd_per_researcher,IND,India,aws,H100_SXM5,0.0,0.0,0.418,0.0
rd_per_researcher,IND,India,aws,A100_SXM4,312.0,156.0,1.113,0.111
rd_per_researcher,IND,India,gcp,H100_SXM5,0.0,0.0,0.409,0.0
rd_per_researcher,IND,India,gcp,A100_SXM4,312.0,156.0,1.066,0.111
rd_per_researcher,IND,India,azure,H100_SXM5,0.0,0.0,0.134,0.0
rd_per_researcher,IND,India,azure,A100_SXM4,0.0,0.0,0.244,0.0
rd_per_researcher,BRA,Brazil,aws,H100_SXM5,0.0,0.0,0.826,0.0
rd_per_researcher,BRA,Brazil,aws,A100_SXM4,624.0,312.0,2.203,0.222
rd_per_researcher,BRA,Brazil,gcp,H100_SXM5,0.0,0.0,0.851,0.0
rd_per_researcher,BRA,Brazil,gcp,A100_SXM4,624.0,312.0,2.211,0.222
rd_per_researcher,BRA,Brazil,azure,H100_SXM5,0.0,0.0,0.264,0.0
rd_per_researcher,BRA,Brazil,azure,A100_SXM4,0.0,0.0,0.372,0.0
rd_per_researcher,ARE,United Arab Emirates,aws,H100_SXM5,989.5,494.8,1.827,0.333
rd_per_researcher,ARE,United Arab Emirates,aws,A100_SXM4,1248.0,624.0,4.87,0.444
rd_per_researcher,ARE,United Arab Emirates,gcp,H100_SXM5,989.5,494.8,1.881,0.333
rd_per_researcher,ARE,United Arab Emirates,gcp,A100_SXM4,1248.0,624.0,4.887,0.444
rd_per_researcher,ARE,United Arab Emirates,azure,H100_SXM5,0.0,0.0,0.396,0.0
rd_per_researcher,ARE,United Arab Emirates,azure,A100_SXM4,312.0,156.0,1.121,0.5
rd_per_researcher,SGP,Singapore,aws,H100_SXM5,1979.0,989.5,2.696,0.667
rd_per_researcher,SGP,Singapore,aws,A100_SXM4,2184.0,1092.0,7.19,0.778
rd_per_researcher,SGP,Singapore,gcp,H100_SXM5,1979.0,989.5,2.587,0.667
rd_per_researcher,SGP,Singapore,gcp,A100_SXM4,1872.0,936.0,6.712,0.667
rd_per_researcher,SGP,Singapore,azure,H100_SXM5,0.0,0.0,0.863,0.0
rd_per_researcher,SGP,Singapore,azure,A100_SXM4,624.0,312.0,2.282,1.0
rd_per_researcher,NGA,Nigeria,aws,H100_SXM5,0.0,0.0,0.157,0.0
rd_per_researcher,NGA,Nigeria,aws,A100_SXM4,0.0,0.0,0.417,0.0
rd_per_researcher,NGA,Nigeria,gcp,H100_SXM5,0.0,0.0,0.161,0.0
rd_per_researcher,NGA,Nigeria,gcp,A100_SXM4,0.0,0.0,0.419,0.0
rd_per_researcher,NGA,Nigeria,azure,H100_SXM5,0.0,0.0,0.05,0.0
rd_per_researcher,NGA,Nigeria,azure,A100_SXM4,0.0,0.0,0.132,0.0
rd_per_researcher,CHN,China,aws,H100_SXM5,0.0,0.0,1.566,0.0
rd_per_researcher,CHN,China,aws,A100_SXM4,0.0,0.0,4.175,0.0
rd_per_researcher,CHN,China,gcp,H100_SXM5,0.0,0.0,1.612,0.0
rd_per_researcher,CHN,China,gcp,A100_SXM4,0.0,0.0,4.189,0.0
rd_per_researcher,CHN,China,azure,H100_SXM5,0.0,0.0,0.501,0.0
rd_per_researcher,CHN,China,azure,A100_SXM4,0.0,0.0,1.325,0.0
